"Supplier","PartID","Cost.Per.Unit","Quantity"
"Supplier A",10000252,36.91,3140158585
"Supplier A",10000253,76.09,3298859876
"Supplier A",10000254,44.17,2965825754
"Supplier A",10000255,52.11,2722503749
"Supplier A",10000256,24.84,2049740459
"Supplier A",10000257,64.84,3629142232
"Supplier A",10000258,18.22,3408613460
"Supplier A",10000259,15.57,5032027485
"Supplier A",10000260,36.38,4068087090
"Supplier A",10000261,18.42,7231890467
"Supplier A",10000262,71.26,5797804239
"Supplier A",10000263,54.65,9778049726
"Supplier A",10000264,11.55,8080493054
"Supplier A",10000265,2.38,3751277325
"Supplier A",10000266,65.48,8094475270
"Supplier A",10000267,4.97,6961133532
"Supplier A",10000268,74.6,4436149962
"Supplier A",10000269,21.13,4946095732
"Supplier A",10000270,23.8,9051163791
"Supplier A",10000271,25.91,7828537683
"Supplier A",10000272,69.65,8553253877
"Supplier A",10000273,8.81,8661319135
"Supplier A",10000274,43.67,1386069072
"Supplier A",10000275,39.26,3471532454
"Supplier A",10000276,36.6,7112286168
"Supplier A",10000277,56.73,7409905382
"Supplier A",10000278,43.12,2027797597
"Supplier A",10000279,67.12,5947305544
"Supplier A",10000280,62.53,5262369055
"Supplier A",10000281,81.79,2326721152
"Supplier A",10000282,12.99,3315090327
"Supplier A",10000283,47.23,6929209869
"Supplier A",10000284,21.79,2731191172
"Supplier A",10000285,68.96,1074844973
"Supplier A",10000286,58.97,5108165277
"Supplier A",10000287,26.77,5700366347
"Supplier A",10000288,96.81,8449151868
"Supplier A",10000289,17.29,1921734740
"Supplier A",10000290,80.35,9228931913
"Supplier A",10000291,14.98,6935611453
"Supplier A",10000292,16.58,1293818121
"Supplier A",10000293,65.01,2380444796
"Supplier A",10000294,32.81,5271728268
"Supplier A",10000295,75.74,1201791743
"Supplier A",10000296,25.45,6027593476
"Supplier A",10000297,21.41,3770608259
"Supplier A",10000298,56.84,3531055189
"Supplier A",10000299,20.19,3299198489
"Supplier A",10000300,81.91,8897262729
"Supplier A",10000301,72.88,1337255918
"Supplier A",10000302,83.04,9632024542
"Supplier A",10000303,47.64,2516019133
"Supplier A",10000304,28.67,9891116611
"Supplier A",10000305,68.77,2041979700
"Supplier A",10000306,17.1,8837281904
"Supplier A",10000307,65.38,5983046600
"Supplier A",10000308,65.13,9674880987
"Supplier A",10000309,50.71,4921165309
"Supplier A",10000310,16.91,1085033706
"Supplier A",10000311,10.33,8177080960
"Supplier A",10000312,2.99,8046387783
"Supplier A",10000313,77.53,7458428015
"Supplier A",10000314,60.33,2595257233
"Supplier A",10000315,40.19,8347831838
"Supplier A",10000316,89.13,4105357299
"Supplier A",10000317,49.81,2799880357
"Supplier A",10000318,74.52,1464517576
"Supplier A",10000319,90.86,3869715354
"Supplier A",10000320,71.74,4849794792
"Supplier A",10000321,90.62,9585677037
"Supplier A",10000322,93.97,5525981627
"Supplier A",10000323,47.81,8251277064
"Supplier A",10000324,1.21,1726869876
"Supplier A",10000325,9.56,1196593023
"Supplier A",10000326,86.97,5842473737
"Supplier A",10000327,93.75,8217724596
"Supplier A",10000328,45.66,3484851989
"Supplier A",10000329,24.95,2932824921
"Supplier A",10000330,85.22,3303760247
"Supplier A",10000331,2.07,7802229923
"Supplier A",10000332,48.77,7286448256
"Supplier A",10000333,11.19,7959176554
"Supplier A",10000334,20.84,4898871763
"Supplier A",10000335,88.15,8619693555
"Supplier A",10000336,14.64,5039573589
"Supplier A",10000337,88.29,4248358830
"Supplier A",10000338,73.43,4763587791
"Supplier A",10000339,89.79,4052778120
"Supplier A",10000340,63.3,8269859171
"Supplier A",10000341,90.97,2178565673
"Supplier A",10000342,66.34,3509031939
"Supplier A",10000343,72.79,8054894740
"Supplier A",10000344,31.56,8735871522
"Supplier A",10000345,94.75,4342229730
"Supplier A",10000346,44.93,9153292836
"Supplier A",10000347,27.19,3261130566
"Supplier A",10000348,68.31,5887540355
"Supplier A",10000349,16.07,9501528704
"Supplier A",10000350,55.3,2010645597
"Supplier A",10000351,53.66,3887519806
"Supplier A",10000352,19.92,1371509296
"Supplier A",10000353,55.04,7101683211
"Supplier A",10000354,12.8,9859025317
"Supplier A",10000355,46.45,2267919096
"Supplier A",10000356,42.53,1522914820
"Supplier A",10000357,22.98,6753855232
"Supplier A",10000358,92.14,5860272953
"Supplier A",10000359,67.8,1015645217
"Supplier A",10000360,64.8,3339248111
"Supplier A",10000361,23.97,8973435407
"Supplier A",10000362,91.29,3469163902
"Supplier A",10000363,35.63,5418671017
"Supplier A",10000364,89.77,8572098057
"Supplier A",10000365,81.35,2987844762
"Supplier A",10000366,6,2302827182
"Supplier A",10000367,82.81,5959382260
"Supplier A",10000368,51.71,7605115539
"Supplier A",10000369,74.47,2338763525
"Supplier A",10000370,2.73,2226593277
"Supplier A",10000371,97.72,3219354031
"Supplier A",10000372,51.86,6386142473
"Supplier A",10000373,33.93,7154538728
"Supplier A",10000374,30.73,4813870014
"Supplier A",10000375,89.62,4504440724
"Supplier A",10000376,17.83,8719650194
"Supplier A",10000377,7.53,8106897477
"Supplier A",10000378,75.5,3732739443
"Supplier A",10000379,55.77,1550736275
"Supplier A",10000380,13.57,6660529478
"Supplier A",10000381,95.31,6476396601
"Supplier A",10000382,61.19,3785890340
"Supplier A",10000383,21.26,4389768470
"Supplier A",10000384,42.07,6756960792
"Supplier A",10000385,36.22,7019561498
"Supplier A",10000386,96.82,2426322722
"Supplier A",10000387,7.76,3154996623
"Supplier A",10000388,35.65,7317759827
"Supplier A",10000389,26.14,4080859970
"Supplier A",10000390,21.94,4683136503
"Supplier A",10000391,11.72,7589458703
"Supplier A",10000392,88.93,7139266014
"Supplier A",10000393,39.22,5447837814
"Supplier A",10000394,86.29,9025511082
"Supplier A",10000395,37.4,6688926359
"Supplier A",10000396,64.72,9257162130
"Supplier A",10000397,47.56,3760889737
"Supplier A",10000398,33.72,2394171908
"Supplier A",10000399,65.01,3033184948
"Supplier A",10000400,55.11,2539684253
"Supplier A",10000401,8.24,6889990043
"Supplier A",10000402,6.96,7686961002
"Supplier A",10000403,22.42,8648423778
"Supplier A",10000404,33.35,7437605736
"Supplier A",10000405,85.86,9897759271
"Supplier A",10000406,74.73,6715340187
"Supplier A",10000407,40.01,3120766943
"Supplier A",10000408,79.86,1148067471
"Supplier A",10000409,50.48,8048095948
"Supplier A",10000410,81.44,1100417018
"Supplier A",10000411,64.87,2802803356
"Supplier A",10000412,81.26,4235923325
"Supplier A",10000413,4.01,7292965129
"Supplier A",10000414,1,4466026148
"Supplier A",10000415,34.46,9177087745
"Supplier A",10000416,13.86,9397793563
"Supplier A",10000417,27.78,5850782509
"Supplier A",10000418,94.66,2422534468
"Supplier A",10000419,91.91,4947744171
"Supplier A",10000420,20.52,7050562876
"Supplier A",10000421,93.42,2645382453
"Supplier A",10000422,91.47,6780592359
"Supplier A",10000423,83.69,7467646239
"Supplier A",10000424,14.78,3483028508
"Supplier A",10000425,10.72,4936654251
"Supplier A",10000426,80.3,5721728139
"Supplier A",10000427,5.3,8968857253
"Supplier A",10000428,94.76,1035503348
"Supplier A",10000429,7.36,9909140223
"Supplier A",10000430,78.79,2527724007
"Supplier A",10000431,68.8,4523725741
"Supplier A",10000432,47.02,1669414077
"Supplier A",10000433,90.27,9686992258
"Supplier A",10000434,85.73,5306455334
"Supplier A",10000435,21.76,1497066168
"Supplier A",10000436,53.02,9545071510
"Supplier A",10000437,81.09,1074568329
"Supplier A",10000438,8.29,2849789537
"Supplier A",10000439,31.12,1958961871
"Supplier A",10000440,35.11,5214479959
"Supplier A",10000441,5.43,3586147223
"Supplier A",10000442,54.76,1551861898
"Supplier A",10000443,86.02,5787608982
"Supplier A",10000444,5.98,9908987430
"Supplier A",10000445,75.31,4854260744
"Supplier A",10000446,35.83,5744751419
"Supplier A",10000447,75.88,1389067135
"Supplier A",10000448,48.48,5844829313
"Supplier A",10000449,34.61,9265739177
"Supplier A",10000450,20.38,5966521757
"Supplier A",10000451,83.16,4820451558
"Supplier A",10000452,21.86,8359457275
"Supplier A",10000453,31.08,7437796293
"Supplier A",10000454,44.3,9904798415
"Supplier A",10000455,47.3,7590957169
"Supplier A",10000456,16.19,5198713666
"Supplier A",10000457,68.51,6812622654
"Supplier A",10000458,15.18,6565467796
"Supplier A",10000459,89.9,7487023195
"Supplier A",10000460,22.9,1030709704
"Supplier A",10000461,76.35,2312927985
"Supplier A",10000462,89.97,4568933187
"Supplier A",10000463,47.75,8327927306
"Supplier A",10000464,85.15,8251570570
"Supplier A",10000465,91.77,3769574546
"Supplier A",10000466,97.73,2480657797
"Supplier A",10000467,91.14,7679422466
"Supplier A",10000468,63.48,7540736503
"Supplier A",10000469,45.09,2001450483
"Supplier A",10000470,92.63,9418235643
"Supplier A",10000471,94.27,2449437701
"Supplier A",10000472,79.67,3351085424
"Supplier A",10000473,92.93,3314385523
"Supplier A",10000474,77.98,7471638059
"Supplier A",10000475,30.53,5122943516
"Supplier A",10000476,98.67,4101497040
"Supplier A",10000477,74.15,3124797090
"Supplier A",10000478,68.38,8208705360
"Supplier A",10000479,7.92,4073866741
"Supplier A",10000480,31.53,9887820927
"Supplier A",10000481,76.5,5219286722
"Supplier A",10000482,43.74,3270730825
"Supplier A",10000483,4.88,8049087139
"Supplier A",10000484,2.38,4415934718
"Supplier A",10000485,20,3080942879
"Supplier A",10000486,63.54,4705541809
"Supplier A",10000487,44.9,5938629201
"Supplier A",10000488,50.63,5489346441
"Supplier A",10000489,44.86,9320988687
"Supplier A",10000490,91.17,3981070608
"Supplier A",10000491,48.95,9854332170
"Supplier A",10000492,39.27,8191486523
"Supplier A",10000493,9.99,9122567669
"Supplier A",10000494,3.35,6273479662
"Supplier A",10000495,76.46,1985623128
"Supplier A",10000496,45.04,3782747212
"Supplier A",10000497,48.25,8161079491
"Supplier A",10000498,81.88,9445917040
"Supplier A",10000499,10.77,4400209552
"Supplier A",10000500,59.14,9943241762
"Supplier A",10000501,61.12,5173021532
"Supplier A",10000502,75.87,3651645731
"Supplier A",10000503,22.15,8808978398
"Supplier A",10000504,63.18,5045699988
"Supplier A",10000505,93.74,9431495350
"Supplier A",10000506,68.6,7611673127
"Supplier A",10000507,16.38,3326358559
"Supplier A",10000508,21.52,9991306007
"Supplier A",10000509,36.3,7737467723
"Supplier A",10000510,84.52,8148949345
"Supplier A",10000511,17.71,8235471356
"Supplier A",10000512,94.66,7102598762
"Supplier A",10000513,87.5,4524607247
"Supplier A",10000514,56.09,4858846289
"Supplier A",10000515,82.82,7624542334
"Supplier A",10000516,54.15,5848442578
"Supplier A",10000517,99.37,4877010896
"Supplier A",10000518,97.59,2718705783
"Supplier A",10000519,73.34,5420708420
"Supplier A",10000520,24.64,3998760990
"Supplier A",10000521,38.91,6038424699
"Supplier A",10000522,41.89,7195867983
"Supplier A",10000523,53.52,8229768822
"Supplier A",10000524,23.61,8094892394
"Supplier A",10000525,90.56,5986627052
"Supplier A",10000526,37.56,7096735061
"Supplier A",10000527,68.34,2215539992
"Supplier A",10000528,7.35,9445733617
"Supplier A",10000529,37.15,5981375171
"Supplier A",10000530,70.94,3465519062
"Supplier A",10000531,94.02,9159372590
"Supplier A",10000532,85.04,5102330737
"Supplier A",10000533,30.01,4205635326
"Supplier A",10000534,29.13,4603683884
"Supplier A",10000535,8.86,6657517945
"Supplier A",10000536,84.93,9487854794
"Supplier A",10000537,81.62,8689889145
"Supplier A",10000538,3.77,8221069313
"Supplier A",10000539,82.58,3175064265
"Supplier A",10000540,41.25,5985378506
"Supplier A",10000541,96.92,9333861113
"Supplier A",10000542,17.07,5548660449
"Supplier A",10000543,21.82,4988879315
"Supplier A",10000544,48.38,9586948541
"Supplier A",10000545,35.73,3450578822
"Supplier A",10000546,55.47,2121281489
"Supplier A",10000547,37.98,8572854755
"Supplier A",10000548,78.88,8343830920
"Supplier A",10000549,65.67,4194730274
"Supplier A",10000550,48.77,9811417931
"Supplier A",10000551,55.09,1423664703
"Supplier A",10000552,7.89,9506294351
"Supplier A",10000553,9.74,2849161556
"Supplier A",10000554,30.5,4772340001
"Supplier A",10000555,34.64,5759889740
"Supplier A",10000556,8.37,5758821935
"Supplier A",10000557,85.88,9113899963
"Supplier A",10000558,7.15,8465559469
"Supplier A",10000559,12.25,5947716995
"Supplier A",10000560,28.62,9609798822
"Supplier A",10000561,99.46,5789183040
"Supplier A",10000562,21.6,3756241740
"Supplier A",10000563,84.88,5620772224
"Supplier A",10000564,72.01,5133880770
"Supplier A",10000565,68.37,1281609079
"Supplier A",10000566,63.95,8719035156
"Supplier A",10000567,44.94,3499080154
"Supplier A",10000568,57.9,8665904692
"Supplier A",10000569,67.66,9860005044
"Supplier A",10000570,72.99,3030993043
"Supplier A",10000571,54.93,2453021357
"Supplier A",10000572,50.2,4697951904
"Supplier A",10000573,44.63,8960109167
"Supplier A",10000574,88.04,6966676058
"Supplier A",10000575,22.51,6460533625
"Supplier A",10000576,66.03,1953215092
"Supplier A",10000577,98.21,6117155490
"Supplier A",10000578,38.06,2291188839
"Supplier A",10000579,66.82,1799654739
"Supplier A",10000580,75.26,9833573975
"Supplier A",10000581,54.73,4469007084
"Supplier A",10000582,58.4,4046491719
"Supplier A",10000583,28.68,7527292121
"Supplier A",10000584,30.42,1471540491
"Supplier A",10000585,69.46,8952217389
"Supplier A",10000586,51.67,7838553991
"Supplier A",10000587,80.22,9098630693
"Supplier A",10000588,43.61,2801187053
"Supplier A",10000589,24.97,5305009253
"Supplier A",10000590,78.1,1384753925
"Supplier A",10000591,18.69,9498170564
"Supplier A",10000592,39.13,8665045498
"Supplier A",10000593,4.04,7116700007
"Supplier A",10000594,91.75,8548163607
"Supplier A",10000595,53.02,5788284792
"Supplier A",10000596,80.67,4280643445
"Supplier A",10000597,78.2,4737684285
"Supplier A",10000598,2.91,4028191810
"Supplier A",10000599,39.33,7094046199
"Supplier A",10000600,68.99,7901865727
"Supplier A",10000601,78.12,1322837280
"Supplier A",10000602,88.03,7247741796
"Supplier A",10000603,64.29,5944479470
"Supplier A",10000604,75.57,1675648121
"Supplier A",10000605,94.67,9693145558
"Supplier A",10000606,25.66,6363881392
"Supplier A",10000607,83.99,8314273622
"Supplier A",10000608,2.28,5621989671
"Supplier A",10000609,86.9,5839094881
"Supplier A",10000610,2.98,9870505039
"Supplier A",10000611,16.11,6010473078
"Supplier A",10000612,11.91,6791852335
"Supplier A",10000613,31.77,2085553681
"Supplier A",10000614,86.6,9719046818
"Supplier A",10000615,10.79,8921406798
"Supplier A",10000616,36.25,9492403010
"Supplier A",10000617,20.32,2561543101
"Supplier A",10000618,9.86,6646628907
"Supplier A",10000619,74.25,3734878115
"Supplier A",10000620,4.29,4938443542
"Supplier A",10000621,59.57,1685132859
"Supplier A",10000622,39.79,4281498611
"Supplier A",10000623,13.77,4473530916
"Supplier A",10000624,90.32,5772981021
"Supplier A",10000625,80.79,4211069973
"Supplier A",10000626,92.5,6862306951
"Supplier A",10000627,96.51,7877293927
"Supplier A",10000628,64.09,1900323845
"Supplier A",10000629,7.83,1282413978
"Supplier A",10000630,52.34,6599300997
"Supplier A",10000631,44.31,5547630870
"Supplier A",10000632,36.83,1969826035
"Supplier A",10000633,96.95,1598084548
"Supplier A",10000634,42.76,4701310512
"Supplier A",10000635,54.78,6196635324
"Supplier A",10000636,32.88,4959466665
"Supplier A",10000637,73.36,8648185040
"Supplier A",10000638,16.97,8796911100
"Supplier A",10000639,36.29,7170946026
"Supplier A",10000640,98.91,2840040015
"Supplier A",10000641,77.2,8867781566
"Supplier A",10000642,92.45,8709611803
"Supplier A",10000643,16.54,2083068233
"Supplier A",10000644,13.9,4914103461
"Supplier A",10000645,71.29,2983079742
"Supplier A",10000646,2.1,7331308560
"Supplier A",10000647,13.68,2727254047
"Supplier A",10000648,87.87,6772944655
"Supplier A",10000649,64.91,5546842547
"Supplier A",10000650,5.74,8865418151
"Supplier A",10000651,78.47,2433156084
"Supplier A",10000652,6.76,4099791098
"Supplier A",10000653,26.45,3507724327
"Supplier A",10000654,36.76,4416504948
"Supplier A",10000655,21.65,7424128812
"Supplier A",10000656,83.04,7964423975
"Supplier A",10000657,39.52,4061861731
"Supplier A",10000658,39.64,1306413497
"Supplier A",10000659,26.11,6225693885
"Supplier A",10000660,21.59,6642903130
"Supplier A",10000661,74.69,8323940135
"Supplier A",10000662,19.52,7251726614
"Supplier A",10000663,4.62,9654554233
"Supplier A",10000664,92.56,3541836956
"Supplier A",10000665,38.4,3076585775
"Supplier A",10000666,54.29,2661626451
"Supplier A",10000667,30.08,8769943495
"Supplier A",10000668,15.66,6068552576
"Supplier A",10000669,46.26,4606332908
"Supplier A",10000670,86.47,7586594603
"Supplier A",10000671,59,5979709498
"Supplier A",10000672,94.12,1035494730
"Supplier A",10000673,88.2,3752924700
"Supplier A",10000674,96.72,2890085987
"Supplier A",10000675,47.62,3324387428
"Supplier A",10000676,85.64,5780652662
"Supplier A",10000677,54.81,7818943796
"Supplier A",10000678,29.99,9027811488
"Supplier A",10000679,22.3,7435478440
"Supplier A",10000680,23.48,4365567375
"Supplier A",10000681,23.08,9266420547
"Supplier A",10000682,63.77,4306474325
"Supplier A",10000683,8.23,4137665366
"Supplier A",10000684,63.77,6276527375
"Supplier A",10000685,71.93,1005343061
"Supplier A",10000686,58.17,5705742108
"Supplier A",10000687,62.5,5695027265
"Supplier A",10000688,77.01,2607730788
"Supplier A",10000689,44.58,7411230581
"Supplier A",10000690,58.01,4228208967
"Supplier A",10000691,36.27,9313334111
"Supplier A",10000692,95.57,8808443095
"Supplier A",10000693,19.48,7368120809
"Supplier A",10000694,13.28,9795227285
"Supplier A",10000695,59.77,6478727619
"Supplier A",10000696,54.96,4569410401
"Supplier A",10000697,66.61,2783169007
